"hubGene","genes","cor"
"Ha412HOChr09g0427971","Ha412HOChr09g0427971",1
"Ha412HOChr09g0427971","Ha412HOChr09g0413841",0.951
"Ha412HOChr09g0427971","Ha412HOChr11g0483071",0.944
"Ha412HOChr09g0427971","Ha412HOChr17g0823641",0.936
"Ha412HOChr09g0427971","Ha412HOChr01g0015511",0.935
"Ha412HOChr09g0427971","Ha412HOChr11g0492091",0.93
"Ha412HOChr09g0427971","Ha412HOChr04g0199881",0.929
"Ha412HOChr09g0427971","Ha412HOChr03g0111521",0.926
"Ha412HOChr09g0427971","Ha412HOChr07g0308701",0.926
"Ha412HOChr09g0427971","Ha412HOChr12g0553761",0.926
"Ha412HOChr09g0427971","Ha412HOChr13g0631621",0.921
"Ha412HOChr09g0427971","Ha412HOChr12g0553081",0.917
"Ha412HOChr09g0427971","Ha412HOChr07g0296471",0.915
"Ha412HOChr09g0427971","Ha412HOChr15g0699491",0.915
"Ha412HOChr09g0427971","Ha412HOChr10g0474001",0.914
"Ha412HOChr09g0427971","Ha412HOChr16g0787001",0.914
"Ha412HOChr09g0427971","Ha412HOChr02g0060951",0.911
"Ha412HOChr09g0427971","Ha412HOChr04g0199981",0.91
"Ha412HOChr09g0427971","Ha412HOChr13g0620571",0.906
"Ha412HOChr09g0427971","Ha412HOChr01g0016161",0.905
"Ha412HOChr09g0427971","Ha412HOChr13g0581991",0.904
"Ha412HOChr09g0427971","Ha412HOChr10g0443461",0.903
"Ha412HOChr09g0427971","Ha412HOChr15g0713691",0.903
"Ha412HOChr09g0427971","Ha412HOChr06g0261831",0.902
"Ha412HOChr09g0427971","Ha412HOChr12g0552191",0.902
"Ha412HOChr09g0427971","Ha412HOChr09g0400601",0.9
"Ha412HOChr09g0427971","Ha412HOChr11g0533431",0.9
"Ha412HOChr09g0427971","Ha412HOChr04g0194781",0.898
"Ha412HOChr09g0427971","Ha412HOChr06g0282291",0.898
"Ha412HOChr09g0427971","Ha412HOChr12g0560221",0.897
"Ha412HOChr15g0708001","Ha412HOChr15g0708001",1
"Ha412HOChr15g0708001","Ha412HOChr06g0280651",0.931
"Ha412HOChr15g0708001","Ha412HOChr13g0632581",0.93
"Ha412HOChr15g0708001","Ha412HOChr14g0656751",0.928
"Ha412HOChr15g0708001","Ha412HOChr04g0194971",0.921
"Ha412HOChr15g0708001","Ha412HOChr04g0178181",0.92
"Ha412HOChr15g0708001","Ha412HOChr15g0735921",0.918
"Ha412HOChr15g0708001","Ha412HOChr03g0118951",0.915
"Ha412HOChr15g0708001","Ha412HOChr11g0523571",0.915
"Ha412HOChr15g0708001","Ha412HOChr14g0678151",0.914
"Ha412HOChr15g0728141","Ha412HOChr15g0728141",1
"Ha412HOChr15g0728141","Ha412HOChr13g0581991",0.934
"Ha412HOChr15g0728141","Ha412HOChr03g0111521",0.918
"Ha412HOChr15g0728141","Ha412HOChr06g0261831",0.916
"Ha412HOChr15g0728141","Ha412HOChr09g0400831",0.913
"Ha412HOChr15g0728141","Ha412HOChr06g0251921",0.912
"Ha412HOChr15g0728141","Ha412HOChr07g0308741",0.912
"Ha412HOChr15g0728141","Ha412HOChr01g0016161",0.911
"Ha412HOChr15g0728141","Ha412HOChr16g0769451",0.909
"Ha412HOChr15g0728141","Ha412HOChr12g0552191",0.908
"Ha412HOChr03g0104371","Ha412HOChr03g0104371",1
"Ha412HOChr03g0104371","Ha412HOChr17g0854111",0.908
"Ha412HOChr03g0104371","Ha412HOChr06g0263391",0.905
"Ha412HOChr03g0104371","Ha412HOChr12g0561611",0.899
"Ha412HOChr03g0104371","Ha412HOChr16g0772991",0.897
"Ha412HOChr03g0104371","Ha412HOChr10g0445381",0.893
"Ha412HOChr03g0104371","Ha412HOChr10g0454691",0.892
"Ha412HOChr03g0104371","Ha412HOChr08g0364511",0.891
"Ha412HOChr03g0104371","Ha412HOChr13g0582721",0.891
"Ha412HOChr03g0104371","Ha412HOChr10g0468831",0.889
"Ha412HOChr05g0240361","Ha412HOChr05g0240361",1
"Ha412HOChr05g0240361","Ha412HOChr11g0486251",0.803
"Ha412HOChr05g0240361","Ha412HOChr09g0428871",0.796
"Ha412HOChr05g0240361","Ha412HOChr15g0741831",0.796
"Ha412HOChr05g0240361","Ha412HOChr15g0744971",0.789
"Ha412HOChr05g0240361","Ha412HOChr09g0407681",0.786
"Ha412HOChr05g0240361","Ha412HOChr09g0387491",0.783
"Ha412HOChr05g0240361","Ha412HOChr07g0311921",0.779
"Ha412HOChr05g0240361","Ha412HOChr17g0840121",0.776
"Ha412HOChr05g0240361","Ha412HOChr01g0036831",0.772
"Ha412HOChr04g0145741","Ha412HOChr04g0145741",1
"Ha412HOChr04g0145741","Ha412HOChr06g0262011",0.896
"Ha412HOChr04g0145741","Ha412HOChr11g0530451",0.893
"Ha412HOChr04g0145741","Ha412HOChr11g0523571",0.885
"Ha412HOChr04g0145741","Ha412HOChr15g0709351",0.879
"Ha412HOChr04g0145741","Ha412HOChr15g0735911",0.872
"Ha412HOChr04g0145741","Ha412HOChr13g0582061",0.871
"Ha412HOChr04g0145741","Ha412HOChr03g0119451",0.868
"Ha412HOChr04g0145741","Ha412HOChr04g0147141",0.868
"Ha412HOChr04g0145741","Ha412HOChr10g0471191",0.867
"Ha412HOChr11g0486251","Ha412HOChr11g0486251",1
"Ha412HOChr11g0486251","Ha412HOChr15g0733541",0.916
"Ha412HOChr11g0486251","Ha412HOChr07g0290051",0.915
"Ha412HOChr11g0486251","Ha412HOChr11g0498781",0.907
"Ha412HOChr11g0486251","Ha412HOChr15g0735401",0.906
"Ha412HOChr11g0486251","Ha412HOChr13g0625381",0.905
"Ha412HOChr11g0486251","Ha412HOChr05g0239991",0.901
"Ha412HOChr11g0486251","Ha412HOChr04g0178161",0.9
"Ha412HOChr11g0486251","Ha412HOChr04g0192381",0.9
"Ha412HOChr11g0486251","Ha412HOChr13g0582131",0.898
"Ha412HOChr16g0780931","Ha412HOChr16g0780931",1
"Ha412HOChr16g0780931","Ha412HOChr01g0016161",0.93
"Ha412HOChr16g0780931","Ha412HOChr15g0706361",0.919
"Ha412HOChr16g0780931","Ha412HOChr11g0533431",0.911
"Ha412HOChr16g0780931","Ha412HOChr13g0582721",0.905
"Ha412HOChr16g0780931","Ha412HOChr17g0854111",0.905
"Ha412HOChr16g0780931","Ha412HOChr17g0809461",0.904
"Ha412HOChr16g0780931","Ha412HOChr14g0665951",0.899
"Ha412HOChr16g0780931","Ha412HOChr10g0477771",0.896
"Ha412HOChr16g0780931","Ha412HOChr09g0400831",0.892
"Ha412HOChr14g0659771","Ha412HOChr14g0659771",1
"Ha412HOChr14g0659771","Ha412HOChr03g0109461",0.849
"Ha412HOChr14g0659771","Ha412HOChr07g0306011",0.813
"Ha412HOChr14g0659771","Ha412HOChr02g0049051",0.809
"Ha412HOChr14g0659771","Ha412HOChr17g0827121",0.808
"Ha412HOChr14g0659771","Ha412HOChr04g0189021",0.807
"Ha412HOChr14g0659771","Ha412HOChr13g0626301",0.806
"Ha412HOChr14g0659771","Ha412HOChr15g0697551",0.798
"Ha412HOChr14g0659771","Ha412HOChr01g0004961",0.797
"Ha412HOChr14g0659771","Ha412HOChr15g0726081",0.791
"Ha412HOChr16g0792041","Ha412HOChr16g0792041",1
"Ha412HOChr16g0792041","Ha412HOChr16g0767281",0.832
"Ha412HOChr16g0792041","Ha412HOChr09g0406741",0.823
"Ha412HOChr16g0792041","Ha412HOChr15g0704581",0.815
"Ha412HOChr16g0792041","Ha412HOChr04g0176661",0.81
"Ha412HOChr16g0792041","Ha412HOChr09g0404791",0.799
"Ha412HOChr16g0792041","Ha412HOChr09g0408341",0.799
"Ha412HOChr16g0792041","Ha412HOChr16g0760041",0.799
"Ha412HOChr16g0792041","Ha412HOChr09g0406781",0.798
"Ha412HOChr16g0792041","Ha412HOChr01g0001931",0.796
"Ha412HOChr15g0737211","Ha412HOChr15g0737211",1
"Ha412HOChr15g0737211","Ha412HOChr13g0610851",0.844
"Ha412HOChr15g0737211","Ha412HOChr17g0817911",0.843
"Ha412HOChr15g0737211","Ha412HOChr04g0159201",0.841
"Ha412HOChr15g0737211","Ha412HOChr03g0110861",0.84
"Ha412HOChr15g0737211","Ha412HOChr15g0700651",0.833
"Ha412HOChr15g0737211","Ha412HOChr11g0533291",0.832
"Ha412HOChr15g0737211","Ha412HOChr10g0471191",0.829
"Ha412HOChr15g0737211","Ha412HOChr12g0541021",0.822
"Ha412HOChr15g0737211","Ha412HOChr08g0346481",0.819
