"hubGene","genes","cor"
"Ha412HOChr06g0271081","Ha412HOChr12g0577251",0.934
"Ha412HOChr06g0271081","Ha412HOChr09g0395611",0.933
"Ha412HOChr06g0271081","Ha412HOChr02g0061141",0.932
"Ha412HOChr04g0145741","Ha412HOChr04g0145741",1
"Ha412HOChr04g0145741","Ha412HOChr06g0262011",0.896
"Ha412HOChr04g0145741","Ha412HOChr11g0530451",0.893
"Ha412HOChr04g0145741","Ha412HOChr11g0523571",0.885
"Ha412HOChr04g0145741","Ha412HOChr15g0709351",0.879
"Ha412HOChr04g0145741","Ha412HOChr15g0735911",0.872
"Ha412HOChr04g0145741","Ha412HOChr13g0582061",0.871
"Ha412HOChr04g0145741","Ha412HOChr03g0119451",0.868
"Ha412HOChr04g0145741","Ha412HOChr04g0147141",0.868
"Ha412HOChr04g0145741","Ha412HOChr10g0471191",0.867
"Ha412HOChr15g0703871","Ha412HOChr15g0703871",1
"Ha412HOChr15g0703871","Ha412HOChr12g0557561",0.861
"Ha412HOChr15g0703871","Ha412HOChr11g0490281",0.858
"Ha412HOChr15g0703871","Ha412HOChr06g0259451",0.855
"Ha412HOChr15g0703871","Ha412HOChr04g0159011",0.854
"Ha412HOChr15g0703871","Ha412HOChr03g0120161",0.836
"Ha412HOChr15g0703871","Ha412HOChr05g0220361",0.835
"Ha412HOChr15g0703871","Ha412HOChr06g0255481",0.835
"Ha412HOChr15g0703871","Ha412HOChr08g0368811",0.834
"Ha412HOChr15g0703871","Ha412HOChr17g0856591",0.833
"Ha412HOChr06g0277881","Ha412HOChr06g0277881",1
"Ha412HOChr06g0277881","Ha412HOChr07g0290051",0.937
"Ha412HOChr06g0277881","Ha412HOChr16g0783391",0.934
"Ha412HOChr06g0277881","Ha412HOChr04g0151371",0.931
"Ha412HOChr06g0277881","Ha412HOChr04g0178161",0.928
"Ha412HOChr06g0277881","Ha412HOChr07g0304891",0.921
"Ha412HOChr06g0277881","Ha412HOChr14g0678101",0.921
"Ha412HOChr06g0277881","Ha412HOChr03g0123901",0.92
"Ha412HOChr06g0277881","Ha412HOChr09g0425091",0.92
"Ha412HOChr06g0277881","Ha412HOChr09g0424381",0.917
"Ha412HOChr15g0708001","Ha412HOChr15g0708001",1
"Ha412HOChr15g0708001","Ha412HOChr06g0280651",0.931
"Ha412HOChr15g0708001","Ha412HOChr13g0632581",0.93
"Ha412HOChr15g0708001","Ha412HOChr14g0656751",0.928
"Ha412HOChr15g0708001","Ha412HOChr04g0194971",0.921
"Ha412HOChr15g0708001","Ha412HOChr04g0178181",0.92
"Ha412HOChr15g0708001","Ha412HOChr15g0735921",0.918
"Ha412HOChr15g0708001","Ha412HOChr03g0118951",0.915
"Ha412HOChr15g0708001","Ha412HOChr11g0523571",0.915
"Ha412HOChr15g0708001","Ha412HOChr14g0678151",0.914
"Ha412HOChr15g0737211","Ha412HOChr15g0737211",1
"Ha412HOChr15g0737211","Ha412HOChr13g0610851",0.844
"Ha412HOChr15g0737211","Ha412HOChr17g0817911",0.843
"Ha412HOChr15g0737211","Ha412HOChr04g0159201",0.841
"Ha412HOChr15g0737211","Ha412HOChr03g0110861",0.84
"Ha412HOChr15g0737211","Ha412HOChr15g0700651",0.833
"Ha412HOChr15g0737211","Ha412HOChr11g0533291",0.832
"Ha412HOChr15g0737211","Ha412HOChr10g0471191",0.829
"Ha412HOChr15g0737211","Ha412HOChr12g0541021",0.822
"Ha412HOChr15g0737211","Ha412HOChr08g0346481",0.819
"Ha412HOChr15g0713781","Ha412HOChr15g0713781",1
"Ha412HOChr15g0713781","Ha412HOChr04g0194971",0.882
"Ha412HOChr15g0713781","Ha412HOChr12g0560341",0.882
"Ha412HOChr15g0713781","Ha412HOChr16g0751551",0.88
"Ha412HOChr15g0713781","Ha412HOChr10g0453881",0.879
"Ha412HOChr15g0713781","Ha412HOChr09g0414731",0.875
"Ha412HOChr15g0713781","Ha412HOChr15g0742321",0.875
"Ha412HOChr15g0713781","Ha412HOChr17g0815441",0.875
"Ha412HOChr15g0713781","Ha412HOChr14g0674661",0.869
"Ha412HOChr15g0713781","Ha412HOChr14g0656701",0.867
"Ha412HOChr03g0104371","Ha412HOChr03g0104371",1
"Ha412HOChr03g0104371","Ha412HOChr17g0854111",0.908
"Ha412HOChr03g0104371","Ha412HOChr06g0263391",0.905
"Ha412HOChr03g0104371","Ha412HOChr12g0561611",0.899
"Ha412HOChr03g0104371","Ha412HOChr16g0772991",0.897
"Ha412HOChr03g0104371","Ha412HOChr10g0445381",0.893
"Ha412HOChr03g0104371","Ha412HOChr10g0454691",0.892
"Ha412HOChr03g0104371","Ha412HOChr08g0364511",0.891
"Ha412HOChr03g0104371","Ha412HOChr13g0582721",0.891
"Ha412HOChr03g0104371","Ha412HOChr10g0468831",0.889
"Ha412HOChr11g0486251","Ha412HOChr11g0486251",1
"Ha412HOChr11g0486251","Ha412HOChr15g0733541",0.916
"Ha412HOChr11g0486251","Ha412HOChr07g0290051",0.915
"Ha412HOChr11g0486251","Ha412HOChr11g0498781",0.907
"Ha412HOChr11g0486251","Ha412HOChr15g0735401",0.906
"Ha412HOChr11g0486251","Ha412HOChr13g0625381",0.905
"Ha412HOChr11g0486251","Ha412HOChr05g0239991",0.901
"Ha412HOChr11g0486251","Ha412HOChr04g0178161",0.9
"Ha412HOChr11g0486251","Ha412HOChr04g0192381",0.9
"Ha412HOChr11g0486251","Ha412HOChr13g0582131",0.898
"Ha412HOChr12g0548291","Ha412HOChr12g0548291",1
"Ha412HOChr12g0548291","Ha412HOChr11g0506671",0.829
"Ha412HOChr12g0548291","Ha412HOChr14g0654181",0.821
"Ha412HOChr12g0548291","Ha412HOChr08g0334521",0.815
"Ha412HOChr12g0548291","Ha412HOChr12g0534821",0.811
"Ha412HOChr12g0548291","Ha412HOChr03g0099211",0.802
"Ha412HOChr12g0548291","Ha412HOChr13g0599841",0.799
"Ha412HOChr12g0548291","Ha412HOChr11g0530471",0.798
"Ha412HOChr12g0548291","Ha412HOChr17g0806961",0.795
"Ha412HOChr12g0548291","Ha412HOChr03g0092621",0.792
"Ha412HOChr12g0548291","Ha412HOChr03g0110861",0.792
"Ha412HOChr12g0548291","Ha412HOChr10g0471191",0.79
"Ha412HOChr12g0548291","Ha412HOChr11g0486251",0.788
"Ha412HOChr12g0548291","Ha412HOChr03g0118951",0.784
"Ha412HOChr12g0548291","Ha412HOChr04g0193961",0.784
"Ha412HOChr12g0548291","Ha412HOChr15g0733541",0.783
"Ha412HOChr12g0548291","Ha412HOChr06g0264611",0.779
"Ha412HOChr12g0548291","Ha412HOChr08g0334561",0.779
"Ha412HOChr12g0548291","Ha412HOChr12g0547451",0.779
"Ha412HOChr12g0548291","Ha412HOChr09g0404101",0.777
"Ha412HOChr15g0728141","Ha412HOChr15g0728141",1
"Ha412HOChr15g0728141","Ha412HOChr13g0581991",0.934
"Ha412HOChr15g0728141","Ha412HOChr03g0111521",0.918
"Ha412HOChr15g0728141","Ha412HOChr06g0261831",0.916
"Ha412HOChr15g0728141","Ha412HOChr09g0400831",0.913
"Ha412HOChr15g0728141","Ha412HOChr06g0251921",0.912
"Ha412HOChr15g0728141","Ha412HOChr07g0308741",0.912
"Ha412HOChr15g0728141","Ha412HOChr01g0016161",0.911
"Ha412HOChr15g0728141","Ha412HOChr16g0769451",0.909
"Ha412HOChr15g0728141","Ha412HOChr12g0552191",0.908
"Ha412HOChr03g0131441","Ha412HOChr03g0131441",1
"Ha412HOChr03g0131441","Ha412HOChr01g0032421",0.752
"Ha412HOChr03g0131441","Ha412HOChr05g0240361",0.734
"Ha412HOChr03g0131441","Ha412HOChr14g0676091",0.734
"Ha412HOChr03g0131441","Ha412HOChr12g0544491",0.719
"Ha412HOChr03g0131441","Ha412HOChr01g0014391",0.717
"Ha412HOChr03g0131441","Ha412HOChr05g0208911",0.714
"Ha412HOChr03g0131441","Ha412HOChr08g0367271",0.711
"Ha412HOChr03g0131441","Ha412HOChr06g0277881",0.71
"Ha412HOChr03g0131441","Ha412HOChr05g0201381",0.705
"Ha412HOChr03g0131441","Ha412HOChr17g0856231",0.705
"Ha412HOChr03g0131441","Ha412HOChr10g0470251",0.703
"Ha412HOChr03g0131441","Ha412HOChr15g0744971",0.703
"Ha412HOChr03g0131441","Ha412HOChr09g0397971",0.698
"Ha412HOChr03g0131441","Ha412HOChr01g0036281",0.694
"Ha412HOChr03g0131441","Ha412HOChr08g0330461",0.693
"Ha412HOChr03g0131441","Ha412HOChr13g0623861",0.693
"Ha412HOChr03g0131441","Ha412HOChr15g0700691",0.692
"Ha412HOChr03g0131441","Ha412HOChr07g0307261",0.691
"Ha412HOChr03g0131441","Ha412HOChr09g0391641",0.688
"Ha412HOChr17g0811791","Ha412HOChr17g0811791",1
"Ha412HOChr17g0811791","Ha412HOChr09g0377611",0.906
"Ha412HOChr17g0811791","Ha412HOChr13g0617161",0.898
"Ha412HOChr17g0811791","Ha412HOChr10g0440841",0.897
"Ha412HOChr17g0811791","Ha412HOChr09g0407431",0.894
"Ha412HOChr17g0811791","Ha412HOChr15g0732311",0.893
"Ha412HOChr17g0811791","Ha412HOChr09g0416321",0.891
"Ha412HOChr17g0811791","Ha412HOChr14g0691171",0.891
"Ha412HOChr17g0811791","Ha412HOChr17g0846141",0.889
"Ha412HOChr17g0811791","Ha412HOChr10g0452271",0.888
"Ha412HOChr14g0659771","Ha412HOChr14g0659771",1
"Ha412HOChr14g0659771","Ha412HOChr03g0109461",0.849
"Ha412HOChr14g0659771","Ha412HOChr07g0306011",0.813
"Ha412HOChr14g0659771","Ha412HOChr02g0049051",0.809
"Ha412HOChr14g0659771","Ha412HOChr17g0827121",0.808
"Ha412HOChr14g0659771","Ha412HOChr04g0189021",0.807
"Ha412HOChr14g0659771","Ha412HOChr13g0626301",0.806
"Ha412HOChr14g0659771","Ha412HOChr15g0697551",0.798
"Ha412HOChr14g0659771","Ha412HOChr01g0004961",0.797
"Ha412HOChr14g0659771","Ha412HOChr15g0726081",0.791
"Ha412HOChr05g0240361","Ha412HOChr05g0240361",1
"Ha412HOChr05g0240361","Ha412HOChr11g0486251",0.803
"Ha412HOChr05g0240361","Ha412HOChr09g0428871",0.796
"Ha412HOChr05g0240361","Ha412HOChr15g0741831",0.796
"Ha412HOChr05g0240361","Ha412HOChr15g0744971",0.789
"Ha412HOChr05g0240361","Ha412HOChr09g0407681",0.786
"Ha412HOChr05g0240361","Ha412HOChr09g0387491",0.783
"Ha412HOChr05g0240361","Ha412HOChr07g0311921",0.779
"Ha412HOChr05g0240361","Ha412HOChr17g0840121",0.776
"Ha412HOChr05g0240361","Ha412HOChr01g0036831",0.772
"Ha412HOChr09g0410201","Ha412HOChr09g0410201",1
"Ha412HOChr09g0410201","Ha412HOChr16g0783391",0.878
"Ha412HOChr09g0410201","Ha412HOChr09g0414731",0.867
"Ha412HOChr09g0410201","Ha412HOChr15g0709351",0.865
"Ha412HOChr09g0410201","Ha412HOChr05g0229351",0.864
"Ha412HOChr09g0410201","Ha412HOChr02g0087231",0.849
"Ha412HOChr09g0410201","Ha412HOChr10g0445211",0.848
"Ha412HOChr09g0410201","Ha412HOChr06g0269661",0.845
"Ha412HOChr09g0410201","Ha412HOChr04g0151371",0.841
"Ha412HOChr09g0410201","Ha412HOChr10g0474411",0.841
"Ha412HOChr16g0783391","Ha412HOChr16g0783391",1
"Ha412HOChr16g0783391","Ha412HOChr04g0198501",0.938
"Ha412HOChr16g0783391","Ha412HOChr06g0277881",0.934
"Ha412HOChr16g0783391","Ha412HOChr04g0151371",0.93
"Ha412HOChr16g0783391","Ha412HOChr07g0290051",0.928
"Ha412HOChr16g0783391","Ha412HOChr14g0685251",0.928
"Ha412HOChr16g0783391","Ha412HOChr04g0194971",0.923
"Ha412HOChr16g0783391","Ha412HOChr03g0119451",0.921
"Ha412HOChr16g0783391","Ha412HOChr15g0744611",0.921
"Ha412HOChr16g0783391","Ha412HOChr09g0414731",0.92
"Ha412HOChr16g0792041","Ha412HOChr16g0792041",1
"Ha412HOChr16g0792041","Ha412HOChr16g0767281",0.832
"Ha412HOChr16g0792041","Ha412HOChr09g0406741",0.823
"Ha412HOChr16g0792041","Ha412HOChr15g0704581",0.815
"Ha412HOChr16g0792041","Ha412HOChr04g0176661",0.81
"Ha412HOChr16g0792041","Ha412HOChr09g0404791",0.799
"Ha412HOChr16g0792041","Ha412HOChr09g0408341",0.799
"Ha412HOChr16g0792041","Ha412HOChr16g0760041",0.799
"Ha412HOChr16g0792041","Ha412HOChr09g0406781",0.798
"Ha412HOChr16g0792041","Ha412HOChr01g0001931",0.796
"Ha412HOChr15g0744971","Ha412HOChr15g0744971",1
"Ha412HOChr15g0744971","Ha412HOChr05g0211511",0.917
"Ha412HOChr15g0744971","Ha412HOChr06g0277881",0.914
"Ha412HOChr15g0744971","Ha412HOChr08g0335911",0.912
"Ha412HOChr15g0744971","Ha412HOChr08g0349431",0.905
"Ha412HOChr15g0744971","Ha412HOChr07g0290051",0.904
"Ha412HOChr15g0744971","Ha412HOChr17g0827121",0.903
"Ha412HOChr15g0744971","Ha412HOChr11g0498981",0.902
"Ha412HOChr15g0744971","Ha412HOChr02g0087231",0.897
"Ha412HOChr15g0744971","Ha412HOChr10g0466791",0.897
"Ha412HOChr16g0783691","Ha412HOChr16g0783691",1
"Ha412HOChr16g0783691","Ha412HOChr16g0780931",0.888
"Ha412HOChr16g0783691","Ha412HOChr17g0854111",0.882
"Ha412HOChr16g0783691","Ha412HOChr04g0182931",0.876
"Ha412HOChr16g0783691","Ha412HOChr10g0459171",0.874
"Ha412HOChr16g0783691","Ha412HOChr01g0037541",0.873
"Ha412HOChr16g0783691","Ha412HOChr15g0706361",0.866
"Ha412HOChr16g0783691","Ha412HOChr11g0533431",0.865
"Ha412HOChr16g0783691","Ha412HOChr09g0383361",0.864
"Ha412HOChr16g0783691","Ha412HOChr11g0483071",0.864
"Ha412HOChr17g0854111","Ha412HOChr17g0854111",1
"Ha412HOChr17g0854111","Ha412HOChr14g0665951",0.959
"Ha412HOChr17g0854111","Ha412HOChr13g0582721",0.95
"Ha412HOChr17g0854111","Ha412HOChr02g0061141",0.945
"Ha412HOChr17g0854111","Ha412HOChr02g0069291",0.943
"Ha412HOChr17g0854111","Ha412HOChr17g0825281",0.942
"Ha412HOChr17g0854111","Ha412HOChr16g0766481",0.941
"Ha412HOChr17g0854111","Ha412HOChr01g0016161",0.94
"Ha412HOChr17g0854111","Ha412HOChr10g0468831",0.94
"Ha412HOChr17g0854111","Ha412HOChr11g0492091",0.94
"Ha412HOChr11g0530871","Ha412HOChr11g0530871",1
"Ha412HOChr11g0530871","Ha412HOChr11g0502101",0.902
"Ha412HOChr11g0530871","Ha412HOChr04g0179251",0.895
"Ha412HOChr11g0530871","Ha412HOChr06g0263391",0.892
"Ha412HOChr11g0530871","Ha412HOChr08g0364511",0.889
"Ha412HOChr11g0530871","Ha412HOChr15g0706601",0.889
"Ha412HOChr11g0530871","Ha412HOChr06g0253921",0.888
"Ha412HOChr11g0530871","Ha412HOChr16g0772991",0.888
"Ha412HOChr11g0530871","Ha412HOChr07g0318501",0.887
"Ha412HOChr11g0530871","Ha412HOChr12g0561611",0.887
"Ha412HOChr11g0530871","Ha412HOChr04g0155501",0.886
"Ha412HOChr11g0530871","Ha412HOChr01g0003271",0.885
"Ha412HOChr11g0530871","Ha412HOChr04g0188951",0.885
"Ha412HOChr11g0530871","Ha412HOChr15g0708981",0.885
"Ha412HOChr11g0530871","Ha412HOChr15g0745571",0.884
"Ha412HOChr11g0530871","Ha412HOChr03g0119181",0.883
"Ha412HOChr11g0530871","Ha412HOChr10g0447551",0.882
"Ha412HOChr11g0530871","Ha412HOChr04g0176511",0.881
"Ha412HOChr11g0530871","Ha412HOChr07g0309121",0.881
"Ha412HOChr11g0530871","Ha412HOChr15g0699221",0.881
"Ha412HOChr16g0780931","Ha412HOChr16g0780931",1
"Ha412HOChr16g0780931","Ha412HOChr01g0016161",0.93
"Ha412HOChr16g0780931","Ha412HOChr15g0706361",0.919
"Ha412HOChr16g0780931","Ha412HOChr11g0533431",0.911
"Ha412HOChr16g0780931","Ha412HOChr13g0582721",0.905
"Ha412HOChr16g0780931","Ha412HOChr17g0854111",0.905
"Ha412HOChr16g0780931","Ha412HOChr17g0809461",0.904
"Ha412HOChr16g0780931","Ha412HOChr14g0665951",0.899
"Ha412HOChr16g0780931","Ha412HOChr10g0477771",0.896
"Ha412HOChr16g0780931","Ha412HOChr09g0400831",0.892
"Ha412HOChr06g0254491","Ha412HOChr06g0254491",1
"Ha412HOChr06g0254491","Ha412HOChr08g0349431",0.848
"Ha412HOChr06g0254491","Ha412HOChr13g0626301",0.842
"Ha412HOChr06g0254491","Ha412HOChr10g0452821",0.838
"Ha412HOChr06g0254491","Ha412HOChr03g0092491",0.834
"Ha412HOChr06g0254491","Ha412HOChr04g0146831",0.834
"Ha412HOChr06g0254491","Ha412HOChr09g0425451",0.833
"Ha412HOChr06g0254491","Ha412HOChr13g0632621",0.832
"Ha412HOChr06g0254491","Ha412HOChr17g0813221",0.832
"Ha412HOChr06g0254491","Ha412HOChr04g0192801",0.831
