"query","GO.ID","Term","Annotated","Significant","Expected","p_value","source","logPval"
"Ha412HOChr15g0728141","GO:0006887","exocytosis",94,1,0.04,0.0389,"BP",1.41005039867429
"Ha412HOChr15g0728141","GO:0009738","abscisic acid-activated signaling pathwa...",102,1,0.04,0.0422,"BP",1.37468754903833
"Ha412HOChr15g0728141","GO:0006351","DNA-templated transcription",1463,3,0.62,0.0435,"BP",1.36151074304536
"Ha412HOChr15g0728141","GO:0046777","protein autophosphorylation",114,1,0.05,0.0471,"BP",1.3269790928711
"Ha412HOChr15g0737211","GO:0001680","tRNA 3'-terminal CCA addition",2,1,0,0.00056,"BP",3.2518119729938
"Ha412HOChr15g0737211","GO:0006606","protein import into nucleus",46,1,0.01,0.01285,"BP",1.89109687233269
"Ha412HOChr15g0737211","GO:0006004","fucose metabolic process",67,1,0.02,0.01868,"BP",1.72862312810593
"Ha412HOChr16g0780931","GO:0009972","cytidine deamination",2,1,0,7e-04,"BP",3.15490195998574
"Ha412HOChr16g0780931","GO:0006538","glutamate catabolic process",7,1,0,0.0025,"BP",2.60205999132796
"Ha412HOChr16g0780931","GO:0042538","hyperosmotic salinity response",15,1,0.01,0.0053,"BP",2.27572413039921
"Ha412HOChr16g0780931","GO:0006887","exocytosis",94,1,0.03,0.0326,"BP",1.48678239993206
"Ha412HOChr16g0780931","GO:0046686","response to cadmium ion",95,1,0.03,0.0329,"BP",1.48280410205003
"Ha412HOChr16g0792041","GO:0070536","protein K63-linked deubiquitination",9,1,0,0.0025,"BP",2.60205999132796
"Ha412HOChr16g0792041","GO:0018105","peptidyl-serine phosphorylation",76,1,0.02,0.0212,"BP",1.67366413907125
"Ha412HOChr16g0792041","GO:0043161","proteasome-mediated ubiquitin-dependent ...",163,1,0.05,0.045,"BP",1.34678748622466
"hubs","GO:0001680","tRNA 3'-terminal CCA addition",2,1,0,0.00084,"BP",3.07572071393812
"hubs","GO:0051300","spindle pole body organization",3,1,0,0.00126,"BP",2.89962945488244
"hubs","GO:0019722","calcium-mediated signaling",8,1,0,0.00336,"BP",2.47366072261016
"hubs","GO:0000290","deadenylation-dependent decapping of nuc...",14,1,0.01,0.00588,"BP",2.23062267392386
"hubs","GO:0009690","cytokinin metabolic process",14,1,0.01,0.00588,"BP",2.23062267392386
